PEYNIRLI SU BOREGI (UR),,,,,,,,
Stok Adı,Birim,Net Miktar,Fire1,Fire2,Ger Mktr,Ger Mktr/TB,Son Fiyat,Maliyet
SADE YAG,kg,6.281,0.00%,0.00%,6.281,6.281,,
HAMUR (YM),kg,59.296,0.00%,0.00%,59.296,59.296,,
ANTEP PEYNIRI,kg,5.678,0.00%,0.00%,5.678,5.678,,
MAYDANOZ,kg,603,0.00%,0.00%,603,603,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
EZME (UR),,,,,,,,
Stok Adı,Birim,Net Miktar,Fire1,Fire2,Ger Mktr,Ger Mktr/TB,Son Fiyat,Maliyet
FISTIK,kg,38.168,0.00%,0.00%,38.168,38.168,,
TOZ SEKER,kg,4.771,0.00%,0.00%,4.771,4.771,,
SU,lt,23.855,0.00%,0.00%,23.855,23.855,,
GLIKOZ,kg,9.542,0.00%,0.00%,9.542,9.542,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
FISTIKLI KURABİYE ,,,,,,,,
Stok Adı,Birim,Net Miktar,Fire1,Fire2,Ger Mktr,Ger Mktr/TB,Son Fiyat,Maliyet
IRMIK NO:0,kg,20.305,0.00%,0.00%,20.305,20.305,,
TOZ SEKER,kg,19.459,0.00%,0.00%,19.459,19.459,,
SADE YAG,kg,1.692,0.00%,0.00%,1.692,1.692,,
FISTIK,kg,27.496,0.00%,0.00%,27.496,27.496,,
YOGURT,kg,1.785,0.00%,0.00%,1.785,1.785,,
SODA GR,kg,11,0.00%,0.00%,11,11,,
KARAKOYUNLU UN,kg,13.536,0.00%,0.00%,13.536,13.536,,
,,,,,,,,
,,,,,,,,
SADE KURABIYE ,,,,,,,,
Stok Adı,Birim,Net Miktar,Fire1,Fire2,Ger Mktr,Ger Mktr/TB,Son Fiyat,Maliyet
KARAKOYUNLU UN,kg,193,0.00%,0.00%,193,193,,
IRMIK NO:0,kg,28.951,0.00%,0.00%,28.951,28.951,,
TOZ SEKER,kg,27.744,0.00%,0.00%,27.744,27.744,,
SADE YAG,kg,21.713,0.00%,0.00%,21.713,21.713,,
YOGURT,kg,2.521,0.00%,0.00%,2.521,2.521,,
SODA GR,kg,169,0.00%,0.00%,169,169,,
FISTIK,kg,1.809,0.00%,0.00%,1.809,1.809,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
DOLAMA (UR),,,,,,,,
Stok Adı,Birim,Net Miktar,Fire1,Fire2,Ger Mktr,Ger Mktr/TB,Son Fiyat,Maliyet
HAMUR (YM),kg,14.878,0.00%,0.00%,14.878,14.878,,
SADE YAG,kg,26.927,0.00%,0.00%,26.927,26.927,,
FISTIK,kg,44.488,0.00%,0.00%,44.488,44.488,,
SERBET (YM),kg,2.439,0.00%,0.00%,2.439,2.439,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
BURMA KADAYIF (UR),,,,,,,,
Stok Adı,Birim,Net Miktar,Fire1,Fire2,Ger Mktr,Ger Mktr/TB,Son Fiyat,Maliyet
SADE YAG,kg,32.799,0.00%,0.00%,32.778,32.778,,
FISTIK,kg,33.507,0.00%,0.00%,33.507,33.507,,
SERBET (YM),kg,33.299,0.00%,0.00%,33.299,33.299,,
KADAYIF,kg,27.263,0.00%,0.00%,27.263,27.263,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
MIDYE (UR),,,,,,,,
Stok Adı,Birim,Net Miktar,Fire1,Fire2,Ger Mktr,Ger Mktr/TB,Son Fiyat,Maliyet
HAMUR (YM),kg,16.256,0.00%,0.00%,16.256,16.256,,
SADE YAG,kg,17.241,0.00%,0.00%,17.241,17.241,,
FISTIK,kg,35.961,0.00%,0.00%,35.961,35.961,,
SERBET (YM),kg,24.631,0.00%,0.00%,24.631,24.631,,
KAYMAK (YM),kg,10.345,6.00%,0.00%,10.985,10.985,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
HAVUC DILIMI (UR),,,,,,,,
Stok Adı,Birim,Net Miktar,Fire1,Fire2,Ger Mktr,Ger Mktr/TB,Son Fiyat,Maliyet
HAMUR (YM),kg,25.321,0.00%,0.00%,25.321,25.321,,
KAYMAK (YM),kg,13.991,6.00%,0.00%,14.862,14.862,,
SADE YAG,kg,48.028,0.00%,0.00%,48.028,48.028,,
FISTIK,kg,16.514,0.00%,0.00%,16.514,16.514,,
SERBET (YM),kg,25.229,0.00%,0.00%,25.229,25.229,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
SOBIYET (UR),,,,,,,,
Stok Adı,Birim,Net Miktar,Fire1,Fire2,Ger Mktr,Ger Mktr/TB,Son Fiyat,Maliyet
HAMUR (YM),kg,18.894,0.00%,0.00%,18.894,18.894,,
KAYMAK (YM),kg,11.779,6.00%,0.00%,12.548,12.548,,
SADE YAG,kg,27.933,0.00%,0.00%,27.933,27.933,,
FISTIK,kg,20.288,0.00%,0.00%,20.288,20.288,,
SERBET (YM),kg,24.038,0.00%,0.00%,24.038,24.038,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
BULBUL YUVASI (UR),,,,,,,,
Stok Adı,Birim,Net Miktar,Fire1,Fire2,Ger Mktr,Ger Mktr/TB,Son Fiyat,Maliyet
HAMUR (YM),kg,24.839,0.00%,0.00%,24.839,24.839,,
SADE YAG,kg,32.258,0.00%,0.00%,32.258,32.258,,
FISTIK,kg,17.742,0.00%,0.00%,17.742,17.742,,
SERBET (YM),kg,32.258,0.00%,0.00%,32.258,32.258,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
OZEL KARE BAKLAVA (UR),,,,,,,,
Stok Adı,Birim,Net Miktar,Fire1,Fire2,Ger Mktr,Ger Mktr/TB,Son Fiyat,Maliyet
HAMUR (YM),kg,24.019,0.00%,0.00%,24.019,24.019,,
KAYMAK (YM),kg,12.025,6.00%,0.00%,12.798,12.798,,
SADE YAG,kg,26.028,0.00%,0.00%,26.028,26.028,,
FISTIK,kg,18.362,0.00%,0.00%,18.362,18.362,,
SERBET (YM),kg,24.389,0.00%,0.00%,24.389,24.389,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
FISTIKLI KURU BAKLAVA (UR),,,,,,,,
Stok Adı,Birim,Net Miktar,Fire1,Fire2,Ger Mktr,Ger Mktr/TB,Son Fiyat,Maliyet
HAMUR (YM),kg,33.516,0.00%,0.00%,33.516,33.516,,
SADE YAG,kg,25.089,0.00%,0.00%,25.089,25.089,,
FISTIK,kg,10.953,0.00%,0.00%,10.953,10.953,,
SERBET (YM),kg,3.854,0.00%,0.00%,3.854,3.854,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
FISTIKLI YAS BAKLAVA (UR),,,,,,,,
Stok Adı,Birim,Net Miktar,Fire1,Fire2,Ger Mktr,Ger Mktr/TB,Son Fiyat,Maliyet
HAMUR (YM),kg,29.443,0.00%,0.00%,29.443,29.443,,
KAYMAK (YM),kg,12.153,6.00%,0.00%,12.925,12.925,,
SADE YAG,kg,2.204,0.00%,0.00%,2.204,2.204,,
FISTIK,kg,9.621,0.00%,0.00%,9.621,9.621,,
SERBET (YM),kg,33.856,0.00%,0.00%,33.856,33.856,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
CEVIZLI BAKLAVA (UR),,,,,,,,
Stok Adı,Birim,Net Miktar,Fire1,Fire2,Ger Mktr,Ger Mktr/TB,Son Fiyat,Maliyet
HAMUR (YM),kg,29.443,0.00%,0.00%,29.443,29.443,,
KAYMAK (YM),kg,12.153,6.00%,0.00%,12.925,12.925,,
SADE YAG,kg,2.204,0.00%,0.00%,2.204,2.204,,
CEVIZ,kg,9.621,0.00%,0.00%,9.621,0.11,,
SERBET (YM),kg,33.856,0.00%,0.00%,33.856,33.856,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
HAMUR (YM),,,,,,,,
Stok Adı,Birim,Net Miktar,Fire1,Fire2,Ger Mktr,Ger Mktr/TB,Son Fiyat,Maliyet
KARAKOYUNLU UN,gr,339,0.00%,0.00%,339,339,,
TEKSIN UN,gr,339,0.00%,0.00%,339,339,,
YUMURTA,Adet,2.5,0.00%,0.00%,2.5,2.5,,
SU,ml,185,0.00%,0.00%,185,185,,
TUZ,gr,7,0.00%,0.00%,7,7,,
NISASTA,gr,222,0.00%,0.00%,222,222,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
SERBET (YM),,,,,,,,
Stok Adı,Birim,Net Miktar,Fire1,Fire2,Ger Mktr,Ger Mktr/TB,Son Fiyat,Maliyet
TOZ SEKER,kg,84.842,0.00%,0.00%,84.842,84.842,,
SU,lt,20.645,0.00%,0.00%,20.645,20.645,,
LIMON,kg,209,0.00%,0.00%,209,209,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
KAYMAK (YM),,,,,,,,
Stok Adı,Birim,Net Miktar,Fire1,Fire2,Ger Mktr,Ger Mktr/TB,Son Fiyat,Maliyet
IRMIK NO:3,kg,8.957,0.00%,0.00%,8.957,8.957,,
SUT,lt,91.357,0.00%,0.00%,91.357,91.357,,