ÜRÜN ADI,KOD,KG FİYATI,,Tepsi/Tava Listesi,Tepsi/Tava Kodu,Adet Fiyatı
Antep Peynirli Su Böreği,UR001,950,,1 Li Tava,TP001,100
Bayram Tepsisi,UR002,1600,,1 Li Tepsi,TP002,150
Cevizli Bülbül Yuvası,UR003,1450,,"1,5 Lu Tava",TP003,200
Cevizli Eski Usûl Dolama,UR004,1450,,"1,5 Lu Tepsi",TP004,80
Cevizli Özel Kare,UR005,1400,,1000 Lik Tava,TP005,110
Cevizli Şöbiyet,UR006,1400,,2 Li Tava,TP006,90
Cevizli Yaş Baklava,UR007,1000,,2 Li Tepsi,TP007,180
Doğum Günü Tepsisi,UR008,1600,,"2,5 Lu Tepsi",TP008,70
Düz Kadayıf,UR009,1450,,3 Lü Tepsi,TP009,70
Fındıklı Çikolatalı Midye,UR010,1700,,4 Lü Tepsi,TP010,130
Fıstık Ezmesi,UR011,1650,,5 Li Tepsi,TP011,250
Burma Kadayıf,UR012,1450,,800 Lük Tava,TP012,140
Bülbül Yuvası,UR013,1650,,,,
Çikolatalı Midye,UR014,1800,,,,
Dolama,UR015,1650,,,,
Eski Usûl Dolama,UR016,1650,,,,
Havuç Dilimi,UR017,1400,,,,
Fıstıklı Kurabiye,UR018,1500,,,,
Kuru Baklava,UR019,1200,,,,
Midye ,UR020,1650,,,,
Özel Kare,UR021,1450,,,,
Özel Şöbiyet,UR022,1650,,,,
Şöbiyet,UR023,1450,,,,
Yaprak Şöbiyet,UR024,1700,,,,
Yaş Baklava,UR025,1200,,,,
İç Fıstık,UR026,1750,,,,
Kare Fıstık Ezmesi,UR027,1700,,,,
Karışık,UR028,1500,,,,
Kaymaklı Baklava,UR029,950,,,,
Kaymaklı Havuç Dilimi,UR030,950,,,,
Özel Karışık,UR031,1600,,,,
Sade Kurabiye,UR032,1000,,,,
Sadeyağ,UR033,700,,,,
Sargılı Fıstık Ezmesi,UR034,1650,,,,
Soğuk Baklava,UR035,1200,,,,
Tuzlu Antep Fıstığı,UR036,900,,,,
Yazılı Karışık Tepsi,UR037,1600,,,,
Yılbaşı Tepsisi,UR038,1600,,,,